mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
9.716042677561441,0.12706723495971065,0.2617865403493245,0.016211963390294903,1.0,500,6,0.05,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 500, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.8}",0.541482913227725,0.5298682845778159,0.5430166859260653,0.5381226279105354,0.00587019321450053,20
3.3032464186350503,0.32927042842065074,0.08302934964497884,0.0015661343692053387,1.0,200,5,0.05,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.8}",0.5660616946022405,0.5477584606845312,0.556079663482576,0.5566332729231159,0.007482510965404059,11
2.9129177729288735,0.04403131163736695,0.1371272404988607,0.036545276289455635,0.8,200,4,0.03,1.0,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 200, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 1.0}",0.5763451203435003,0.548356604753077,0.5630797488140408,0.5625938246368727,0.011431428693687965,1
8.758895953496298,0.9896322441921698,0.21286495526631674,0.04759778597470407,0.8,500,4,0.03,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 500, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.8}",0.5691481809138208,0.5467396130604021,0.5584647763213484,0.558117523431857,0.00915155421179968,9
8.166214227676392,0.430736548047449,0.17587924003601074,0.040797877695542654,0.7,500,3,0.1,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 500, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",0.5447374520704229,0.5385223124266165,0.5518528037103649,0.5450375227358014,0.005446285050055598,17
4.875642538070679,0.1360358152157091,0.1421971321105957,0.02295930412218429,1.0,300,4,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 300, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.5549364709897414,0.5358369313705724,0.5465534454387543,0.5457756159330227,0.007816728534412226,16
5.536693334579468,0.6045986697270094,0.1226191520690918,0.01343395946266425,1.0,500,3,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 500, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.5527479436428571,0.5336643831813364,0.5452999955210909,0.5439041074484281,0.00785310756349276,18
4.555819193522136,0.2446058135052544,0.1647637685139974,0.047317883936823374,1.0,500,3,0.03,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 500, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.8}",0.5699409352969286,0.5480027913617058,0.5584495083740528,0.5587977450108957,0.008959594164807076,8
7.8127208550771075,0.4227883900179923,0.17668231328328451,0.041632005725035115,0.8,500,5,0.03,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.7}",0.565721336164318,0.5405525742466274,0.5566904011248521,0.5543214371785992,0.010410752030195597,15
2.6490073204040527,0.11093486296348733,0.09363102912902832,0.017575263637450815,1.0,300,3,0.03,0.7,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.7}",0.5748411659952597,0.54927010647161,0.5565627362433349,0.5602246695700681,0.010755683398637486,5
