Threshold,Accuracy,Precision,Recall,F1
0.2,0.38066666666666665,0.2587506731287022,0.9658291457286432,0.40815459757910383
0.25,0.4557777777777778,0.28036253776435044,0.9326633165829146,0.4311265969802555
0.3,0.5273333333333333,0.30428769017980634,0.8844221105527639,0.45279135580138924
0.35,0.5997777777777777,0.3360455655004068,0.8301507537688442,0.4784245583550536
0.39999999999999997,0.668,0.3743073047858942,0.7467336683417085,0.4986577181208054
0.44999999999999996,0.716,0.4131368937998772,0.6763819095477387,0.5129573170731707
0.49999999999999994,0.7551111111111111,0.46097738876732314,0.6351758793969849,0.5342349957734573
0.5499999999999999,0.7844444444444445,0.5108601216333623,0.5909547738693467,0.5479962721342032
0.5999999999999999,0.7995555555555556,0.5474974463738509,0.5386934673366834,0.5430597771023303
0.6499999999999999,0.8104444444444444,0.5883084577114428,0.47537688442211057,0.5258476931628683
0.7,0.8162222222222222,0.6296296296296297,0.4100502512562814,0.4966524650030432
