Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Dummy Classifier,0.7788888888888889,0.0,0.0,0.0,0.5,0.22111111111111112
Logistic Regression,0.8097777777777778,0.643298969072165,0.3135678391959799,0.42162162162162165,0.7556263485759754,0.5108967620561805
Logistic Regression (Balanced),0.7464444444444445,0.4455223880597015,0.6,0.5113490364025696,0.7600863088624292,0.5081357798263071
