Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Dummy Classifier,0.7788888888888889,0.0,0.0,0.0,0.5,0.2211111111111111
Logistic Regression,0.8097777777777778,0.643298969072165,0.3135678391959799,0.4216216216216216,0.7556263485759754,0.5108967620561805
Logistic Regression (Balanced),0.7464444444444445,0.4455223880597015,0.6,0.5113490364025696,0.7600863088624292,0.5081357798263071
Random Forest,0.814,0.6390845070422535,0.36482412060301506,0.46449136276391556,0.7589208524792294,0.5339741379138274
Random Forest (Balanced),0.7977777777777778,0.5492468134414832,0.4763819095477387,0.5102260495156081,0.7624025978680851,0.5319803520326016
XGBoost,0.816,0.6537753222836096,0.35678391959798994,0.4616384915474642,0.779213901174919,0.5531582879847922
XGBoost (Balanced),0.7586666666666667,0.4658151765589782,0.6231155778894473,0.5331040412725709,0.7783799167019118,0.5554444715715462
